rkap,items
Cash Advanced,Penerimaan Kas / Pengisian Kas
BANTUAN KESEHATAN,Perawatan Kesehatan
RAPAT DAN KONSUMSI RAPAT,Bahan Makanan & Konsumsi
PERJALANAN DINAS,Perjalanan Dinas Lainnya / SPPD
ALAT & KEPERLUAN KANTOR,Alat & Keperluan Kantor
HONORARIUM,Honorarium melalui Sekretariat Dekom
HONORARIUM,Honorarium melalui Sekretariat Perusahaan
HONORARIUM,Tunjangan Kinerja / IKS
HONORARIUM,THR
HONORARIUM,Bantuan Transport
HONORARIUM,Bonus
BIAYA LAIN-LAIN,Pemeliharaan Gedung
BIAYA LAIN-LAIN,SBO
BIAYA LAIN-LAIN,Biaya Bank
BIAYA LAIN-LAIN,"Biaya Humas, Spanduk, Papan Nama"
BIAYA LAIN-LAIN,Pajak / Retribusi
BIAYA LAIN-LAIN,Barang Cetakan
BIAYA LAIN-LAIN,Teknologi Informasi
BIAYA LAIN-LAIN,Pemakaian Perkakas & Peralatan
BIAYA LAIN-LAIN,Perlengkapan Umum
BIAYA PESERTA LATIHAN,Biaya Peserta Latihan
JASA KONSULTAN INDEPENDEN,Jasa Konsultasi Independen
Cash Advanced,Dropping
BIAYA LAIN-LAIN,Kendaraan Bermotor dan BBM
